material_name,material_type,UTS_MPa,Elongation_pct,Elastic_Mod_MPa,Shear_Mod_MPa,Density_gcm3,Thermal_Cond,Brinell_Hard,Poisson_ratio,Max_Temp_F,Embodied_Energy,Mo_max,Ni_max,Fe_max,Ti_max,N_max
SAE-ASTM Grade G2500 (F10005) Grey Cast Iron,Iron Alloy,190.0,14.0,180000.0,69000.0,7.5,42.0,200.0,0.29,440.0,21.0,0.7,5.5,94.2,0.06,0.1
SAE-ASTM Grade G2500a (F10009) Grey Cast Iron,Iron Alloy,190.0,14.0,180000.0,69000.0,7.5,41.0,200.0,0.29,440.0,21.0,0.7,5.5,94.4,0.06,0.1
SAE-ASTM Grade G3000 (F10006) Grey Cast Iron,Iron Alloy,220.0,9.6,180000.0,70000.0,7.5,41.0,210.0,0.29,440.0,21.0,0.7,5.5,94.4,0.06,0.1
SAE-ASTM Grade G4000d (F10012) Grey Cast Iron,Iron Alloy,290.0,9.6,180000.0,70000.0,7.5,42.0,280.0,0.29,440.0,24.0,0.6,0.45,93.1,0.06,0.1
"ASTM A897 Grade 1 (ASTM 130-90-09 or 900-650-09, ISO 900-8) Cast Iron",Iron Alloy,1010.0,10.0,180000.0,69000.0,7.5,42.0,310.0,0.29,440.0,25.0,0.3,2.0,94.0,0.06,0.1
ASTM Grade 110-70-11 or 750-500-11 Cast Iron,Iron Alloy,860.0,13.0,180000.0,69000.0,7.5,42.0,270.0,0.29,440.0,25.0,0.3,2.0,94.0,0.06,0.1
ASTM A897 Grade 5 (ASTM 230-185-01 or 1600-1300-01) Cast Iron,Iron Alloy,1800.0,1.1,180000.0,69000.0,7.5,42.0,490.0,0.29,440.0,25.0,0.3,2.0,94.0,0.06,0.1
"ASTM A897 Grade 4 (ASTM 200-155-1 or 1400-1100-02, ISO 1400-1, EN-JS 1130) Cast Iron",Iron Alloy,1530.0,1.7,180000.0,62000.0,7.5,42.0,430.0,0.29,440.0,25.0,0.3,2.0,94.0,0.06,0.1
"ASTM A897 Grade 3 (ASTM 175-125-4 or 1200-850-04, ISO 1200-3, EN-JS 1120) Cast Iron",Iron Alloy,1320.0,4.2,180000.0,63000.0,7.5,42.0,390.0,0.29,440.0,25.0,0.3,2.0,94.0,0.06,0.1
SAE-ASTM Grade G1800 (F10004) Grey Cast Iron,Iron Alloy,140.0,14.0,180000.0,69000.0,7.5,43.0,160.0,0.29,440.0,21.0,0.7,5.5,93.8,0.06,0.1
"ASTM Grade 125-80-10 or 850-550-10 (ISO 800-10, EN-JS 1100) Cast Iron",Iron Alloy,920.0,11.0,180000.0,65000.0,7.5,42.0,290.0,0.29,440.0,25.0,0.3,2.0,94.0,0.06,0.1
"ASTM A897 Grade 2 (ASTM 150-110-07 or 1050-750-07, ISO 1050-6) Cast Iron",Iron Alloy,1200.0,8.0,180000.0,69000.0,7.5,42.0,340.0,0.29,440.0,25.0,0.3,2.0,94.0,0.06,0.1
"ASTM Grade 150-100-7 or 1050-700-7 (ISO 1000-6, EN-JS 1110) Cast Iron",Iron Alloy,1120.0,7.3,180000.0,64000.0,7.5,42.0,330.0,0.29,440.0,25.0,0.3,2.0,94.0,0.06,0.1
"ASTM A436 Type 3 (L-NiCr 30 3,F41004) Cast Iron",Iron Alloy,190.0,8.1,180000.0,71000.0,8.0,39.0,140.0,0.3,440.0,60.0,0.7,32.0,68.0,0.06,0.1
"ASTM A436 Type 2 (L-NiCr 20 2,F41002) Cast Iron",Iron Alloy,190.0,9.4,180000.0,71000.0,7.8,39.0,150.0,0.29,440.0,47.0,0.7,22.0,79.0,0.06,0.1
ASTM A436 Type 5 (F41006) Cast Iron,Iron Alloy,150.0,20.0,180000.0,70000.0,8.1,39.0,110.0,0.3,440.0,65.0,0.7,36.0,64.5,0.06,0.1
"ASTM A436 Type 4 (L-NiSiCr 30 5 5, F41005) Cast Iron",Iron Alloy,190.0,20.0,180000.0,70000.0,7.7,39.0,180.0,0.3,440.0,64.0,0.7,32.0,61.0,0.06,0.1
